Sr.no,Airport Name,City,Country,Airport Code
1738,Gibraltar Airport,Gibraltar,Gibraltar,GIB
1739,Belgrade Nikola Tesla Airport,Belgrade,Serbia,BEG
1740,Nis Airport,Nis,Serbia,INI
1741,Podgorica Airport,Podgorica,Montenegro,TGD
1742,Priština International Airport,Pristina,Serbia,PRN
1743,Tivat Airport,Tivat,Montenegro,TIV
1744,Vršac International Airport,Vrsac,Serbia,\N
1745,M. R. Štefánik Airport,Bratislava,Slovakia,BTS
1746,Košice Airport,Kosice,Slovakia,KSC
1747,Kuchyňa Air Base,Malacky,Slovakia,\N
1748,Piešťany Airport,Piestany,Slovakia,PZY
1749,Sliač Airport,Sliac,Slovakia,SLD
1750,Trenčín Airport,Trencin,Slovakia,\N
1751,Poprad-Tatry Airport,Poprad,Slovakia,TAT
1753,North Caicos Airport,North Caicos,Turks and Caicos Islands,NCA
1754,Providenciales Airport,Providenciales,Turks and Caicos Islands,PLS
1755,South Caicos Airport,South Caicos,Turks and Caicos Islands,XSC
1756,Arroyo Barril Airport,Samana,Dominican Republic,EPS
1757,Maria Montez International Airport,Barahona,Dominican Republic,BRX
1758,Cabo Rojo Airport,Cabo Rojo,Dominican Republic,\N
1759,Casa De Campo International Airport,La Romana,Dominican Republic,LRM
1760,Punta Cana International Airport,Punta Cana,Dominican Republic,PUJ
1761,Gregorio Luperon International Airport,Puerto Plata,Dominican Republic,POP
1762,Las Américas International Airport,Santo Domingo,Dominican Republic,SDQ
1763,San Isidro Air Base,San Isidoro,Dominican Republic,\N
1764,Cibao International Airport,Santiago,Dominican Republic,STI
1765,Bananera Airport,Bananera,Guatemala,\N
1766,Coban Airport,Coban,Guatemala,CBV
1767,La Aurora Airport,Guatemala City,Guatemala,GUA
1769,Retalhuleu Airport,Retalhuleu,Guatemala,\N
1770,San José Airport,San Jose,Guatemala,\N
1771,Goloson International Airport,La Ceiba,Honduras,LCE
1772,Ramón Villeda Morales International Airport,San Pedro Sula,Honduras,SAP
1773,La Laguna Airport,Guanaja,Honduras,GJA
1774,Juan Manuel Galvez International Airport,Roatan,Honduras,RTB
1775,Tela Airport,Tela,Honduras,TEA
1776,Toncontín International Airport,Tegucigalpa,Honduras,TGU
1777,Trujillo Airport,Trujillo,Honduras,\N
1778,Boscobel Aerodrome,Ocho Rios,Jamaica,OCJ
1779,Norman Manley International Airport,Kingston,Jamaica,KIN
1780,Sangster International Airport,Montego Bay,Jamaica,MBJ
1781,Ken Jones Airport,Port Antonio,Jamaica,POT
1782,Tinson Pen Airport,Kingston,Jamaica,KTP
1783,General Juan N Alvarez International Airport,Acapulco,Mexico,ACA
1784,Del Norte International Airport,Monterrey,Mexico,NTR
1785,Jesús Terán Paredo International Airport,Aguascalientes,Mexico,AGU
1786,Bahías de Huatulco International Airport,Huatulco,Mexico,HUX
1787,General Mariano Matamoros Airport,Cuernavaca,Mexico,CVJ
1788,Ciudad Acuña New International Airport,Ciudad Acuna,Mexico,\N
1789,Ciudad del Carmen International Airport,Ciudad Del Carmen,Mexico,CME
1790,Nuevo Casas Grandes Airport,Nuevo Casas Grandes,Mexico,\N
1791,Chilpancingo Airport,Chilpancingo,Mexico,\N
1792,Bachigualato Federal International Airport,Culiacan,Mexico,CUL
1793,Chetumal International Airport,Chetumal,Mexico,CTM
1794,Ciudad Obregón International Airport,Ciudad Obregon,Mexico,CEN
1795,Ingeniero Alberto Acuña Ongay International Airport,Campeche,Mexico,CPE
1796,Abraham González International Airport,Ciudad Juarez,Mexico,CJS
1797,General Roberto Fierro Villalobos International Airport,Chihuahua,Mexico,CUU
1798,General Pedro Jose Mendez International Airport,Ciudad Victoria,Mexico,CVM
1800,Cozumel International Airport,Cozumel,Mexico,CZM
1801,General Guadalupe Victoria International Airport,Durango,Mexico,DGO
1802,Amado Nervo National Airport,Tepic,Mexico,TPQ
1803,Ensenada Airport,Ensenada,Mexico,ESE
1804,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,GDL
1805,General José María Yáñez International Airport,Guaymas,Mexico,GYM
1806,Tehuacan Airport,Tehuacan,Mexico,TCN
1807,General Ignacio P. Garcia International Airport,Hermosillo,Mexico,HMO
1808,Licenciado Miguel de la Madrid Airport,Colima,Mexico,CLQ
1809,Isla Mujeres Airport,Isla Mujeres,Mexico,ISJ
1810,Plan De Guadalupe International Airport,Saltillo,Mexico,SLW
1811,Ixtepec Airport,Iztepec,Mexico,\N
1813,Lázaro Cárdenas Airport,Lazard Cardenas,Mexico,LZC
1814,Valle del Fuerte International Airport,Los Mochis,Mexico,LMM
1815,Del Bajío International Airport,Del Bajio,Mexico,BJX
1816,Manuel Márquez de León International Airport,La Paz,Mexico,LAP
1817,Loreto International Airport,Loreto,Mexico,LTO
1818,General Servando Canales International Airport,Matamoros,Mexico,MAM
1819,Licenciado Manuel Crescencio Rejon Int Airport,Merida,Mexico,MID
1820,General Rodolfo Sánchez Taboada International Airport,Mexicali,Mexico,MXL
1821,General Francisco J. Mujica International Airport,Morelia,Mexico,MLM
1822,Minatitlán/Coatzacoalcos National Airport,Minatitlan,Mexico,MTT
1823,Monclova International Airport,Monclova,Mexico,LOV
1824,Licenciado Benito Juarez International Airport,Mexico City,Mexico,MEX
1825,General Mariano Escobedo International Airport,Monterrey,Mexico,MTY
1826,General Rafael Buelna International Airport,Mazatlan,Mexico,MZT
1827,Nogales International Airport,Nogales,Mexico,NOG
1828,Quetzalcóatl International Airport,Nuevo Laredo,Mexico,NLD
1829,Xoxocotlán International Airport,Oaxaca,Mexico,OAX
1830,El Tajín National Airport,Poza Rico,Mexico,PAZ
1831,Hermanos Serdán International Airport,Puebla,Mexico,PBC
1832,Ingeniero Juan Guillermo Villasana Airport,Pachuca,Mexico,PCA
1833,Puerto Peñasco International Airport,Punta Penasco,Mexico,PPE
1834,Piedras Negras International Airport,Piedras Negras,Mexico,PDS
1835,Licenciado y General Ignacio Lopez Rayon Airport,Uruapan,Mexico,UPN
1836,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Mexico,PVR
1837,Puerto Escondido International Airport,Puerto Escondido,Mexico,PXM
1838,Querétaro Intercontinental Airport,Queretaro,Mexico,QRO
1839,General Lucio Blanco International Airport,Reynosa,Mexico,REX
1840,Los Cabos International Airport,San Jose Del Cabo,Mexico,SJD
1841,San Felipe International Airport,San Filipe,Mexico,SFH
1842,Ponciano Arriaga International Airport,San Luis Potosi,Mexico,SLP
1843,Tlaxcala Airport,Tlaxcala,Mexico,TXA
1844,Terán Air Base,Tuxtla Gutierrez,Mexico,\N
1845,Francisco Sarabia International Airport,Torreon,Mexico,TRC
1846,Angel Albino Corzo International Airport,Tuxtla Gutierrez,Mexico,TGZ
1847,General Abelardo L. Rodríguez International Airport,Tijuana,Mexico,TIJ
1848,General Francisco Javier Mina International Airport,Tampico,Mexico,TAM
1849,Tamuin Airport,Tamuin,Mexico,TSL
1850,Licenciado Adolfo Lopez Mateos International Airport,Toluca,Mexico,TLC
1851,Tapachula International Airport,Tapachula,Mexico,TAP
1852,Cancún International Airport,Cancun,Mexico,CUN
1853,Carlos Rovirosa Pérez International Airport,Villahermosa,Mexico,VSA
1854,General Heriberto Jara International Airport,Vera Cruz,Mexico,VER
1855,General Leobardo C. Ruiz International Airport,Zacatecas,Mexico,ZCL
1856,Ixtapa Zihuatanejo International Airport,Zihuatanejo,Mexico,ZIH
1857,Zamora Airport,Zamora,Mexico,ZMM
1858,Playa De Oro International Airport,Manzanillo,Mexico,ZLO
1859,Zapopan Airport,Zapopan,Mexico,\N
1860,Bluefields Airport,Bluefields,Nicaragua,BEF
1861,Los Brasiles Airport,Los Brasiles,Nicaragua,\N
1862,Leon (Fanor Urroz) Airport,Leon,Nicaragua,\N
1863,Augusto C. Sandino (Managua) International Airport,Managua,Nicaragua,MGA
1864,Puerto Cabezas Airport,Puerto Cabezas,Nicaragua,PUZ
1865,Bocas Del Toro International Airport,Bocas Del Toro,Panama,BOC
1866,Cap Manuel Niño International Airport,Changuinola,Panama,CHX
1867,Enrique Malek International Airport,David,Panama,DAV
1868,Panama Pacific International Airport,Howard,Panama,BLB
1869,Marcos A. Gelabert International Airport,Panama,Panama,PAC
1870,Ruben Cantu Airport,Santiago,Panama,\N
1871,Tocumen International Airport,Panama City,Panama,PTY
1872,Buenos Aires Airport,Buenos Aires,Costa Rica,\N
1874,Coto 47 Airport,Coto 47,Costa Rica,OTR
1875,Chacarita Airport,Chacarita,Costa Rica,\N
1877,El Carmen de Siquirres Airport,El Carmen,Costa Rica,\N
1878,Finca 10 / Nuevo Palmar Sur Airport,Finca 10,Costa Rica,\N
1879,Golfito Airport,Golfito,Costa Rica,GLF
1880,Guapiles Airport,Guapiles,Costa Rica,\N
1881,Daniel Oduber Quiros International Airport,Liberia,Costa Rica,LIR
1882,Los Chiles Airport,Los Chiles,Costa Rica,\N
1883,Limon International Airport,Limon,Costa Rica,LIO
1884,Nosara Airport,Nosara Beach,Costa Rica,NOB
1885,Juan Santamaria International Airport,San Jose,Costa Rica,SJO
1886,Pandora Airport,Pandora,Costa Rica,\N
1887,Palmar Sur Airport,Palmar Sur,Costa Rica,PMZ
1889,Quepos Managua Airport,Quepos,Costa Rica,XQP
1890,Santa Clara De Guapiles Airport,Santa Clara,Costa Rica,\N
1891,San Vito De Java Airport,San Vito De Jaba,Costa Rica,\N
1892,El Salvador International Airport,San Salvador,El Salvador,SAL
1893,Ilopango International Airport,San Salvador,El Salvador,\N
1894,Les Cayes Airport,Cayes,Haiti,\N
1895,Cap Haitien International Airport,Cap Haitien,Haiti,CAP
1896,Jacmel Airport,Jacmel,Haiti,\N
1897,Toussaint Louverture International Airport,Port-au-prince,Haiti,PAP
1898,Gustavo Rizo Airport,Baracoa Playa,Cuba,BCA
1899,Carlos Manuel de Cespedes Airport,Bayamo,Cuba,BYM
1900,Maximo Gomez Airport,Ciego De Avila,Cuba,AVI
1901,Jardines Del Rey Airport,Cunagua,Cuba,CCC
1902,Jaime Gonzalez Airport,Cienfuegos,Cuba,CFG
1903,Vilo Acuña International Airport,Cayo Largo del Sur,Cuba,CYO
1904,Ignacio Agramonte International Airport,Camaguey,Cuba,CMW
1905,Antonio Maceo International Airport,Santiago De Cuba,Cuba,SCU
1906,Florida Airport,Florida,Cuba,\N
1907,Leeward Point Field,Guantanamo,Cuba,\N
1908,Mariana Grajales Airport,Guantanamo,Cuba,GAO
1909,José Martí International Airport,Havana,Cuba,HAV
1910,Frank Pais International Airport,Holguin,Cuba,HOG
1911,La Coloma Airport,La Coloma,Cuba,LCL
1912,Orestes Acosta Airport,Moa,Cuba,MOA
1913,Sierra Maestra Airport,Manzanillo,Cuba,MZO
1914,Rafael Cabrera Airport,Nueva Gerona,Cuba,GER
1915,Playa Baracoa Airport,Baracoa Playa,Cuba,UPB
1916,Pinar Del Rio Airport,Pinar Del Rio Norte,Cuba,\N
1917,San Antonio De Los Banos Airport,San Antonio De Banos,Cuba,\N
1918,Abel Santamaria Airport,Santa Clara,Cuba,SNU
1919,Joaquín de Agüero Airport,Santa Lucia,Cuba,\N
1920,Siguanea Airport,Siguanea,Cuba,\N
1921,Sancti Spiritus Airport,Sancti Spiritus,Cuba,\N
1923,Juan Gualberto Gomez International Airport,Varadero,Cuba,VRA
1924,Hermanos Ameijeiras Airport,Las Tunas,Cuba,VTU
1925,Gerrard Smith International Airport,Cayman Brac,Cayman Islands,CYB
1926,Owen Roberts International Airport,Georgetown,Cayman Islands,GCM
1927,Clarence A. Bain Airport,Clarence Bain,Bahamas,\N
1928,Andros Town Airport,Andros Town,Bahamas,ASD
1930,Marsh Harbour International Airport,Marsh Harbor,Bahamas,MHH
1931,San Andros Airport,San Andros,Bahamas,SAQ
1932,Spring Point Airport,Spring Point,Bahamas,AXP
1933,Sandy Point Airport,Sandy Point,Bahamas,\N
1934,Treasure Cay Airport,Treasure Cay,Bahamas,TCB
1935,Chub Cay Airport,Chub Cay,Bahamas,CCZ
1936,Great Harbour Cay Airport,Bullocks Harbour,Bahamas,\N
1937,South Bimini Airport,Alice Town,Bahamas,BIM
1941,Exuma International Airport,Great Exuma,Bahamas,GGT
1942,George Town Airport,George Town,Bahamas,\N
1943,North Eleuthera Airport,North Eleuthera,Bahamas,ELH
1944,Governor's Harbour Airport,Governor's Harbor,Bahamas,GHB
1945,Normans Cay Airport,Norman's Cay,Bahamas,\N
1946,Rock Sound Airport,Rock Sound,Bahamas,RSD
1947,Staniel Cay Airport,Staniel Cay,Bahamas,\N
1948,Grand Bahama International Airport,Freeport,Bahamas,FPO
1949,Inagua Airport,Matthew Town,Bahamas,IGA
1950,Deadman's Cay Airport,Dead Man's Cay,Bahamas,LGI
1951,Stella Maris Airport,Stella Maris,Bahamas,SML
1952,Mayaguana Airport,Mayaguana,Bahamas,MYG
1953,Lynden Pindling International Airport,Nassau,Bahamas,NAS
1954,Duncan Town Airport,Duncan Town,Bahamas,\N
1955,Rum Cay Airport,Port Nelson,Bahamas,\N
1956,San Salvador Airport,Cockburn Town,Bahamas,ZSA
1957,Philip S. W. Goldson International Airport,Belize City,Belize,BZE
1958,Aitutaki Airport,Aitutaki,Cook Islands,AIT
1959,Rarotonga International Airport,Avarua,Cook Islands,RAR
1960,Nadi International Airport,Nandi,Fiji,NAN
1961,Nausori International Airport,Nausori,Fiji,SUV
1963,Fua'amotu International Airport,Tongatapu,Tonga,TBU
1964,Vava'u International Airport,Vava'u,Tonga,VAV
1965,Bonriki International Airport,Tarawa,Kiribati,TRW
1966,Tabiteuea North Airport,Tabiteuea North,Kiribati,TBF
1968,Hihifo Airport,Wallis,Wallis and Futuna,WLS
1969,Faleolo International Airport,Faleolo,Samoa,APW
1970,Pago Pago International Airport,Pago Pago,American Samoa,PPG
1971,Rurutu Airport,Rurutu,French Polynesia,RUR
1972,Tubuai Airport,Tubuai,French Polynesia,TUB
1973,Anaa Airport,Anaa,French Polynesia,AAA
1974,Fangatau Airport,Fangatau,French Polynesia,\N
1975,Tikehau Airport,Tikehau,French Polynesia,TIH
1976,Reao Airport,Reao,French Polynesia,REA
1977,Fakarava Airport,Fakarava,French Polynesia,FAV
1978,Manihi Airport,Manihi,French Polynesia,XMH
1979,Totegegie Airport,Totegegie,French Polynesia,GMR
1980,Kaukura Airport,Kaukura Atoll,French Polynesia,KKR
1981,Makemo Airport,Makemo,French Polynesia,MKP
1982,Puka Puka Airport,Puka Puka,French Polynesia,PKP
1983,Takapoto Airport,Takapoto,French Polynesia,TKP
1984,Arutua Airport,Arutua,French Polynesia,AXR
1985,Mataiva Airport,Mataiva,French Polynesia,MVT
1986,Takaroa Airport,Takaroa,French Polynesia,TKX
1987,Nuku Hiva Airport,Nuku Hiva,French Polynesia,NHV
1989,Bora Bora Airport,Bora Bora,French Polynesia,BOB
1990,Rangiroa Airport,Rangiroa,French Polynesia,RGI
1991,Huahine-Fare Airport,Huahine Island,French Polynesia,HUH
1992,Moorea Airport,Moorea,French Polynesia,MOZ
1993,Hao Airport,Hao Island,French Polynesia,HOI
1994,Maupiti Airport,Maupiti,French Polynesia,MAU
1995,Raiatea Airport,Raiatea Island,French Polynesia,RFP
1997,Bauerfield International Airport,Port-vila,Vanuatu,VLI
1998,Koné Airport,Kone,New Caledonia,KNQ
1999,Koumac Airport,Koumac,New Caledonia,KOC
2000,Lifou Airport,Lifou,New Caledonia,LIF
2001,Nouméa Magenta Airport,Noumea,New Caledonia,GEA
2002,Maré Airport,Mare,New Caledonia,MEE
2003,Touho Airport,Touho,New Caledonia,TOU
2004,Ouvéa Airport,Ouvea,New Caledonia,UVE
2005,La Tontouta International Airport,Noumea,New Caledonia,NOU
2006,Auckland International Airport,Auckland,New Zealand,AKL
2007,Taupo Airport,Taupo,New Zealand,TUO
2008,Ardmore Airport,Ardmore,New Zealand,AMZ
2009,Christchurch International Airport,Christchurch,New Zealand,CHC
2010,Chatham Islands-Tuuta Airport,Chatham Island,New Zealand,CHT
2011,Dunedin Airport,Dunedin,New Zealand,DUD
2012,Gisborne Airport,Gisborne,New Zealand,GIS
2013,Glentanner Airport,Glentanner,New Zealand,\N
2014,Hokitika Airfield,Hokitika,New Zealand,HKK
2015,Hamilton International Airport,Hamilton,New Zealand,HLZ
2016,Hastings Aerodrome,Hastings,New Zealand,\N
2017,Kerikeri Airport,Kerikeri,New Zealand,KKE
2018,Kaitaia Airport,Kaitaia,New Zealand,KAT
2019,Alexandra Airport,Alexandra,New Zealand,ALR
2020,Mount Cook Airport,Mount Cook,New Zealand,MON
2021,Manapouri Airport,Manapouri,New Zealand,TEU
2022,Hood Airport,Masterton,New Zealand,MRO
2023,New Plymouth Airport,New Plymouth,New Zealand,NPL
2024,Nelson Airport,Nelson,New Zealand,NSN
2025,Invercargill Airport,Invercargill,New Zealand,IVC
2026,RNZAF Base Ohakea,Ohakea,New Zealand,\N
2027,Oamaru Airport,Oamaru,New Zealand,OAM
2028,Palmerston North Airport,Palmerston North,New Zealand,PMR
2029,Paraparaumu Airport,Paraparaumu,New Zealand,PPQ
2030,Queenstown International Airport,Queenstown International,New Zealand,ZQN
2031,Rotorua Regional Airport,Rotorua,New Zealand,ROT
2032,Waiouru Airport,Waiouru,New Zealand,\N
2033,South Pole Station Airport,Stephen's Island,Antarctica,\N
2034,Tauranga Airport,Tauranga,New Zealand,TRG
2035,Timaru Airport,Timaru,New Zealand,TIU
2036,Pukaki Airport,Pukaki,New Zealand,\N
2037,Woodbourne Airport,Woodbourne,New Zealand,BHE
2038,Williams Field,Weydon,Antarctica,\N
2039,Wanaka Airport,Wanaka,New Zealand,WKA
2040,Wigram Airport,Wigram,New Zealand,\N
2041,Whakatane Airport,Whakatane,New Zealand,WHK
2042,Wellington International Airport,Wellington,New Zealand,WLG
2043,Wairoa Airport,Wairoa,New Zealand,\N
2044,RNZAF Base Auckland-Whenuapai,Whenuapai,New Zealand,\N
2045,Whangarei Airport,Whangarei,New Zealand,WRE
2046,Westport Airport,Westport,New Zealand,WSZ
2047,Wanganui Airport,Wanganui,New Zealand,WAG
2048,Herat Airport,Herat,Afghanistan,HEA
2049,Jalalabad Airport,Jalalabad,Afghanistan,JAA
2050,Kabul International Airport,Kabul,Afghanistan,KBL
2051,Kandahar Airport,Kandahar,Afghanistan,KDH
2052,Maimana Airport,Maimama,Afghanistan,MMZ
2053,Mazar I Sharif Airport,Mazar-i-sharif,Afghanistan,MZR
2054,Shindand Airport,Shindand,Afghanistan,\N
2055,Sheberghan Airport,Sheberghan,Afghanistan,\N
2056,Konduz Airport,Kunduz,Afghanistan,UND
2057,Bahrain International Airport,Bahrain,Bahrain,BAH
2058,Sheik Isa Air Base,Bahrain,Bahrain,\N
2059,Abha Regional Airport,Abha,Saudi Arabia,AHB
2060,Al Ahsa Airport,Al-ahsa,Saudi Arabia,HOF
2061,Al Baha Airport,El-baha,Saudi Arabia,ABT
2062,Bisha Airport,Bisha,Saudi Arabia,BHH
2063,Abqaiq Airport,Abqaiq,Saudi Arabia,\N
2064,King Fahd International Airport,Dammam,Saudi Arabia,DMM
2065,King Abdulaziz Air Base,Dhahran,Saudi Arabia,DHA
2066,Jizan Regional Airport,Gizan,Saudi Arabia,GIZ
2067,Gassim Airport,Gassim,Saudi Arabia,ELQ
2068,Gurayat Domestic Airport,Guriat,Saudi Arabia,URY
2069,Ha'il Airport,Hail,Saudi Arabia,HAS
2070,Jubail Airport,Jubail,Saudi Arabia,\N
2071,King Faisal Naval Base,Jeddah,Saudi Arabia,\N
2072,King Abdulaziz International Airport,Jeddah,Saudi Arabia,JED
2073,King Khaled Military City Airport,King Khalid Mil.city,Saudi Arabia,HBT
2074,Prince Mohammad Bin Abdulaziz Airport,Madinah,Saudi Arabia,MED
2075,Nejran Airport,Nejran,Saudi Arabia,EAM
2076,Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,AQI
2077,Pump Station 3 Airport,Petroline 3,Saudi Arabia,\N
2078,Pump Station 6 Airport,Petroline 6,Saudi Arabia,\N
2079,Pump Station 10 Airport,Petroline 10,Saudi Arabia,\N
2080,Rabigh Airport,Rabigh,Saudi Arabia,\N
2081,Rafha Domestic Airport,Rafha,Saudi Arabia,RAH
2082,King Khaled International Airport,Riyadh,Saudi Arabia,RUH
2083,Ras Mishab Airport,Rash Mishab,Saudi Arabia,\N
2084,Arar Domestic Airport,Arar,Saudi Arabia,RAE
2085,Ras Tanura Airport,Ras Tanura,Saudi Arabia,\N
2086,Sharurah Airport,Sharurah,Saudi Arabia,SHW
2088,Sulayel Airport,Sulayel,Saudi Arabia,SLF
2089,Tabuk Airport,Tabuk,Saudi Arabia,TUU
2090,Ta’if Regional Airport,Taif,Saudi Arabia,TIF
2091,Thumamah Airport,Thumamah,Saudi Arabia,\N
2092,Ras Tanajib Airport,Ras Tanajib,Saudi Arabia,\N
2093,Turaif Domestic Airport,Turaif,Saudi Arabia,TUI
2095,Al Wajh Domestic Airport,Wejh,Saudi Arabia,EJH
2096,Prince Abdulmohsin Bin Abdulaziz Airport,Yenbo,Saudi Arabia,YNB
2097,Abadan Airport,Abadan,Iran,ABD
2098,Dezful Airport,Dezful,Iran,\N
2099,Aghajari Airport,Aghajari,Iran,\N
2100,Gachsaran Airport,Gachsaran,Iran,\N
2101,Shahid Asyaee Airport,Masjed Soleiman,Iran,QMJ
2102,Omidiyeh Airport,Omidyeh,Iran,\N
2103,Mahshahr Airport,Bandar Mahshahr,Iran,MRX
2104,Ahwaz Airport,Ahwaz,Iran,AWZ
2105,Abumusa Island Airport,Abumusa I.,Iran,\N
2106,Bushehr Airport,Bushehr,Iran,BUZ
2107,Bastak Airport,Bastak,Iran,\N
2108,Asaloyeh Airport,Golbandi,Iran,\N
2109,Kish International Airport,Kish Island,Iran,KIH
2110,Bandar Lengeh Airport,Bandar Lengeh,Iran,BDH
2111,Khark Island Airport,Khark Island,Iran,\N
2112,Sirri Island Airport,Siri Island,Iran,\N
2113,Lavan Island Airport,Lavan Island,Iran,\N
2114,Shahid Ashrafi Esfahani Airport,Bakhtaran,Iran,KSH
2117,Sanandaj Airport,Sanandaj,Iran,SDG
2118,Hesa Airport,Daran,Iran,\N
2119,Shahid Vatan Pour Air Base,Esfahan,Iran,\N
2120,Kashan Airport,Kashan,Iran,\N
2121,Esfahan Shahid Beheshti International Airport,Esfahan,Iran,IFN
2122,Badr Air Base,Sepah,Iran,\N
2123,Sardar-e-Jangal Airport,Rasht,Iran,RAS
2125,Arak Airport,Arak,Iran,\N
2126,Ghazvin Azadi Airport,Abe-ali,Iran,\N
2127,Kushke Nosrat Airport,Kushke Nosrat,Iran,\N
2128,Doshan Tappeh Air Base,Teheran,Iran,\N
2130,Ghale Morghi Airport,Teheran,Iran,\N
2131,Mehrabad International Airport,Teheran,Iran,THR
2132,Qazvin Airport,Ghazvin,Iran,\N
2133,Naja Airport,Khoram Dareh,Iran,\N
2134,Bandar Abbas International Airport,Bandar Abbas,Iran,BND
2135,Jiroft Airport,Jiroft,Iran,\N
2136,Kerman Airport,Kerman,Iran,KER
2138,Havadarya Airport,Bandar Abbas,Iran,\N
2139,Dayrestan Airport,Gheshm I.,Iran,\N
2141,Sirjan Airport,Sirjan,Iran,\N
2142,Birjand Airport,Birjand,Iran,XBJ
2143,Sarakhs Airport,Sarakhs,Iran,\N
2144,Shahroud Airport,Emam Shahr,Iran,\N
2147,Tabas Airport,Tabas,Iran,\N
2148,Kalaleh Airport,Kalaleh,Iran,\N
2151,Ramsar Airport,Ramsar,Iran,RZR
2153,Fasa Airport,Fasa,Iran,\N
2154,Jahrom Airport,Jahrom,Iran,\N
2156,Lamerd Airport,Lamerd,Iran,\N
2157,Shiraz Shahid Dastghaib International Airport,Shiraz,Iran,SYZ
2158,Khoy Airport,Khoy,Iran,\N
2162,Tabriz International Airport,Tabriz,Iran,TBZ
2163,Zanjan Airport,Zanjan,Iran,\N
2164,Shahid Sadooghi Airport,Yazd,Iran,AZD
2165,Zabol Airport,Zabol,Iran,ACZ
2166,Konarak Airport,Chah Bahar,Iran,ZBR
2167,Zahedan International Airport,Zahedan,Iran,ZAH
2168,Iran Shahr Airport,Iran Shahr,Iran,\N
2169,Saravan Airport,Saravan,Iran,\N
2170,Queen Alia International Airport,Amman,Jordan,AMM
2171,Amman-Marka International Airport,Amman,Jordan,ADJ
2172,Aqaba King Hussein International Airport,Aqaba,Jordan,AQJ
2173,Prince Hassan Air Base,Hotel Four,Jordan,\N
2174,Jerusalem Airport,Jerusalem,West Bank,\N
2175,King Hussein Air College,Mafraq,Jordan,OMF
2176,Kuwait International Airport,Kuwait,Kuwait,KWI
2177,Beirut Rafic Hariri International Airport,Beirut,Lebanon,BEY
2178,Rene Mouawad Air Base,Kleiat,Lebanon,\N
2179,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,AUH
2180,Bateen Airport,Abu Dhabi,United Arab Emirates,AZI
2181,Al Hamra Aux Airport,Al Hamra,United Arab Emirates,\N
2182,Jebel Dhana Airport,Jebel Dhana,United Arab Emirates,\N
2184,Al Dhafra Air Base,Abu Dhabi,United Arab Emirates,\N
2185,Arzanah Airport,Arzana,United Arab Emirates,\N
2186,Das Island Airport,Das Island,United Arab Emirates,\N
2187,Zirku Airport,Zirku,United Arab Emirates,\N
2188,Dubai International Airport,Dubai,United Arab Emirates,DXB
2189,Fujairah International Airport,Fujeirah,United Arab Emirates,FJR
2190,Ras Al Khaimah International Airport,Ras Al Khaimah,United Arab Emirates,RKT
2191,Sharjah International Airport,Sharjah,United Arab Emirates,SHJ
2192,Khasab Air Base,Khasab,Oman,KHS
2193,Masirah Air Base,Masirah,Oman,MSH
2194,Muscat International Airport,Muscat,Oman,MCT
2195,Salalah Airport,Salalah,Oman,SLL
2196,Thumrait Air Base,Thumrait,Oman,TTH
2197,Bhagatanwala Airport,Bhagtanwala,Pakistan,\N
2202,Faisalabad International Airport,Faisalabad,Pakistan,LYP
2203,Gwadar International Airport,Gwadar,Pakistan,GWD
2204,Gilgit Airport,Gilgit,Pakistan,GIL
2205,Shahbaz Air Base,Jacobsbad,Pakistan,\N
2206,Jinnah International Airport,Karachi,Pakistan,KHI
2207,Alama Iqbal International Airport,Lahore,Pakistan,LHE
2208,Walton Airport,Lahore,Pakistan,\N
2209,Mangla Airport,Mangla,Pakistan,\N
2210,Muzaffarabad Airport,Muzaffarabad,Pakistan,MFG
2211,Mianwali Air Base,Mianwali,Pakistan,\N
2212,Moenjodaro Airport,Moenjodaro,Pakistan,MJD
2213,Masroor Air Base,Karachi,Pakistan,\N
2214,Multan International Airport,Multan,Pakistan,MUX
2215,Shaheed Benazirabad Airport,Nawabshah,Pakistan,WNS
2216,Okara Cantonment Airstrip,Okara,Pakistan,\N
2217,Panjgur Airport,Panjgur,Pakistan,PJG
2218,Pasni Airport,Pasni,Pakistan,PSI
2219,Peshawar International Airport,Peshawar,Pakistan,PEW
2220,Qasim Airport,Qasim,Pakistan,\N
2221,Quetta International Airport,Quetta,Pakistan,UET
2222,Shaikh Zaid Airport,Rahim Yar Khan,Pakistan,RYK
2223,Benazir Bhutto International Airport,Islamabad,Pakistan,ISB
2224,Risalpur Air Base,Risalpur,Pakistan,\N
2225,Rawalakot Airport,Rawala Kot,Pakistan,RAZ
2227,Sukkur Airport,Sukkur,Pakistan,SKZ
2228,Saidu Sharif Airport,Saidu Sharif,Pakistan,SDT
2229,Sui Airport,Sui,Pakistan,SUL
2230,Talhar Airport,Talhar,Pakistan,BDN
2232,Wana Airport,Wana,Pakistan,\N
2233,Zhob Airport,Zhob,Pakistan,PZH
2234,Basrah International Airport,Basrah,Iraq,BSR
2235,Aleppo International Airport,Aleppo,Syria,ALP
2236,Damascus International Airport,Damascus,Syria,DAM
2237,Deir ez-Zor Airport,Deire Zor,Syria,DEZ
